דגם הרכב,יצרן הרכב,שנה,סוג מנוע,סוג שמן,מידות צמיג,גודל בוקסות,סוג כבלים להתנעה,סוג סיוע משיכה,גלגל רזרבי,מיקום/שחרור גלגל רזרבי,גובי מגרעת סוג ג'ק,מיקום המצבר,מיקום הסטרטר,סוג התנעה,סוג חלונות/ נעילה,אפשרויות פתיחה,הערות תוספים מיוחדים,מיקום חיבור כבל גיר
קורסה,אופל,,,,,,,,יש,,,,,,,,,
,ב.מ.וו.,,,,,,,,יש,,,,,,,,,
לקרוס,ביואיק,,,,,,,,יש,,,,,,,,,
ג'ילי C,גיאומטרי,,חשמלי,,,,,,יש,,,מצבר מתח נמוך. לתת לשם כבלים במקרה ויש טעינה ולא מניע,,כפתור,,,,
סיריון,דייהטסו,2010,בנזין,,,,רגיל,רגיל,יש,,רגיל,רגיל,,מפתח,רגיל,,,
לודג'י,דאצ'יה,,,,,,,,יש,,,,,,,,,
סנדרו,דאצ'יה,,,,,,,,יש,,,,,,,,,
דוקר,דאצ'יה,,,,,,,,יש,,,,,,,,,
לוגאן,דאצ'יה,,,,,,,,,,,,,,,,,
דאסטר,דאצ'יה,,,,,,,,,,,,,,,,,
ספרינג,דאצ'יה,,,,,,,,,,,,,,,,,
ג'וגר,דאצ'יה,,,,,,,,,,,,,,,,,
סיוויק,הונדה,2007,בנזין,,,,רגיל,,יש,,רגיל,רגיל,,מפתח,רגיל.,פתיחת לשונית הפוכה. לדחוף פנימה קדימה לכיוון הנסיעה. כפתור פיזי לתא מטען.,,
cr-v,הונדה,2009,בנזין,5w40,,,,,יש,,,,,,,,,
cr-z,הונדה,,,,,,,,יש,,,,,,,,,
fr-v,הונדה,,,,,,,,יש,,,,,,,,,
HR-V,הונדה,,,,,,,,יש,,,,,,,,,
C2000,הונדה,,,,,,,,יש,,,,,,,,,
אודיסיי,הונדה,,,,,,,,יש,,,,,,,,,
אינסייט,הונדה,,,,,,,,יש,,,,,,,,,
אקורד,הונדה,,,,,,,,,,,,,,,,,
ג'אז,הונדה,,,,,,,,,,,,,,,,,
ג'אז היבריד,הונדה,,,,,,,,,,,,,,,,,
לג'נד,הונדה,,,,,,,,,,,,,,,,,
סטרים,הונדה,,,,,,,,,,,,,,,,,
פיילוט,הונדה,,,,,,,,,,,,,,,,,
פארלוד,הונדה,,,,,,,,,,,,,,,,,
שאטל,הונדה,,,,,,,,,,,,,,,,,
ספרינט,אלפא רומיאו,,,,,,,,,,,,,,,,,
סוד,,,,,,,,,,,,,,,,,,
ספיידר,,,,,,,,,,,,,,,,,,
סטלויו,,,,,,,,,,,,,,,,,,
מיטו,,,,,,,,,,,,,,,,,,
טונלה,,,,,,,,,,,,,,,,,,
ג'ולייטה,,,,,,,,,,,,,,,,,,
ג'ולייה,,,,,,,,,,,,,,,,,,
בררה,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
אוונסיס,טויוטה,2019,,,,,רגיל,רגיל,יש,,רגיל,,,,,,,
אוונסיס,טויוטה,,,,,,רגיל,רגיל,יש,,רגיל,,,,,,,
אוריס,טויוטה,2016,היברידי. בנזין.,,,,רגיל,רגיל,יש,,רגיל,,,,,,,
יאריס,טויוטה,,היברידי. בנזין.,,,,רגיל,רגיל,יש,,רגיל,מאחור. פלוס לתיבת פיוזים שמאלית לבורג מסומן,,,,,,
פריוס,טויוטה,2011,היברידי. בנזין.,,,22,רגיל,רגיל,יש,,רגיל,מאחור. פלוס בתיבת הפיוזים (לפתוח את המכסה פלסטיק האדום),,כפתור,רגיל,רגיל. כפתור נעילה ופתיחה בדלת ליד כפתור החלונות.,,
פריוס פלוס,טויוטה,2017,היברידי. בנזין.,,,,רגיל,רגיל,יש,,רגיל,,,,,,,
קאמרי,טויוטה,2020,,,,,רגיל,רגיל,יש,,רגיל,,,,,,,
קורולה,טויוטה,2005,,,,,רגיל,רגיל,יש,,,,,,,,,
קורולה,טויוטה,2006,,,,,רגיל,רגיל,יש,,,,,,,,,
קורולה,טויוטה,2007,,,,,רגיל,רגיל,יש,,,,,,,,,
קורולה,טויוטה,2008,,,,,רגיל,רגיל,יש,,,,,,,,,
קורולה,טויוטה,2009,,,,,רגיל,רגיל,יש,,,,,,,,,
קורולה,טויוטה,2010,,,,,רגיל,רגיל,יש,,,,,,,,,
קורולה,טויוטה,2011,,,,,רגיל,רגיל,יש,,,,,,,,,
ראב 4,טויוטה,,,,,,,,יש,,ג'ק בקבוק,,,,,,,
CH- R,טויוטה,,,,,,רגיל,,יש,,,,,,,,,
אבאלון,טויוטה,,,,,,,,יש,,,,,,,,,
אייגו,טויוטה,,,,,,רגיל,,יש,,רגיל,,,,,,,
היילנדר,טויוטה,,,,,,,,יש,,,,,,,,,
היילקס,טויוטה,,,,,,כבלים חזקים,,יש,,ג'ק בקבוק,,,,,,,
הייס,טויוטה,,,,,,,,יש,,,,,,,,,
ורסו,טויוטה,,,,,,רגיל,,יש,,רגיל,,,,,,,
טקומה,טויוטה,,,,,,,,יש,,,,,,,,,
יאריס,טויוטה,,בנזין,,,,רגיל,רגיל,,,רגיל,,,,,,,
לאנד קרוזר,טויוטה,,,,,,כבלים חזקים,,יש,,ג'ק בקבוק,,,,,,,
סטרלט,טויוטה,,,,,,,,יש,,,,,,,,,
סייאנה,טויוטה,,,,,,,,יש,,רגיל,,,,,,,
סיליקה,טויוטה,,,,,,,,יש,,,,,,,,,
ספייס ורסו,טויוטה,,,,,,,,יש,,רגיל,,,,,,,
סקויה,טויוטה,,,,,,,,יש,,,,,,,,,
סקויה למיטד,טויוטה,,,,,,,,יש,,,,,,,,,
פור ראנר,טויוטה,,,,,,,,יש,,,,,,,,,
פרו הייס,טויוטה,,,,,,,,יש,,,,,,,,,
פריוויה,טויוטה,,,,,,,,יש,,,,,,,,,
קבריולה,טויוטה,,,,,,,,יש,,,,,,,,,
קורולה,טויוטה,2003,בנזין,,,,רגיל,רגיל,יש,,רגיל,רגיל,,מפתח,רגיל,רגיל,,
קרינה,טויוטה,,,,,,,,יש,,,,,,,,,
FJ  קרוזר,טויוטה,,,,,,,,יש,,,,,,,,,
GT86,טויוטה,,,,,,,,יש,,,,,,,,,
3,טסלה,,חשמלי,,,,,,אין. קיימת ערכת תיקון,,רגיל,,,כפתור,ללא מסגרת,,הגבהת הרכב באמצעות מתאם מיוחד בלבד,
איוניק,יונדאי,2018,היברידי. בנזין.,,,,רגיל,,יש,,רגיל,מאחור. פלוס בתיבת הפיוזים (לפתוח את המכסה פלסטיק האדום),,כפתור,רגיל,במקרה של מצבר גמור תא מטען יכול להיפתח גם מפנים הרכב - יש לחצן פיזי ממש ממול ללחצן החשמלי,קיים כפתור בוסטר להתנעה עצמית. משמאל להגה,
אלנטרה,יונדאי,,,,,,רגיל,,יש,,רגיל,רגיל מקדימה. כבלים ישירות למצבר,,,,,,
ולוסטר,יונדאי,,,,,,רגיל,,יש,,רגיל,,,,,,,
טארג'ט,יונדאי,2007,דיזל,,,21,כבלים חזקים,,יש,בוקסה בפגז לשיחרור הגלגל מתחת לרכב,ג'ק בקבוק,,,,,,,
טוסון,יונדאי,,,,,,,,יש,,ג'ק בקבוק,,,,,,,
סונטה,יונדאי,,,,,,רגיל,,יש,,רגיל,,,,,,,
H100,יונדאי,,,,,,רגיל,,יש,,,,,,,,,
i30cw,יונדאי,,בנזין,,,,רגיל,,יש,רגיל,רגיל,רגיל,,מפתח,רגיל,רגיל,,
אטוס,יונדאי,,,,,,רגיל,,יש,,,,,,,,,
איוניק 5,יונדאי,2022,היברידי. בנזין.,,,,רגיל,רגיל,,,רגיל,,,,,,,
איוניק אינספייר,יונדאי,,,,,,רגיל,,יש,,,,,,,,,
אקסנט,יונדאי,,,,,,רגיל,,יש,רגיל,רגיל,רגיל,,מפתח,רגיל,,,
גאלופר,יונדאי,,,,,,רגיל,,יש,,,,,,,,,
גטס,יונדאי,,,,,,רגיל,,יש,,רגיל,,,,,רגיל. כפתור על ידית נהג,,
טראקאן,יונדאי,,,,,,,,יש,,,,,,,,,
לנטרה,יונדאי,,,,,,,,יש,,,,,,,,,
מטריקס,יונדאי,,,,,,,,יש,,,,,,,,,
סנטפה,יונדאי,,,,,,,,יש,,,,,,,,,
קונה,יונדאי,,היברידי. בנזין.,,,,,,אין. קיימת ערכת תיקון קומפרסור וקצף,,,,,כפתור,,,,
קופה,יונדאי,,,,,,,,יש,,,,,,,,,
H 1,יונדאי,,,,,,,,יש,,,,,,,,,
i10,יונדאי,,בנזין,,,,רגיל,,יש,,רגיל,,,,,,,
i20,יונדאי,,בנזין,,,,רגיל,,יש,,רגיל,,,מפתח,,,,
i25,יונדאי,,בנזין,,,,רגיל,,יש,,רגיל,,,מפתח,רגיל,,,
i30,יונדאי,2010,בנזין,,,,רגיל,,יש,,רגיל,רגיל,,מפתח,רגיל,,,
i35,יונדאי,,בנזין,,,,רגיל,,יש,,רגיל,רגיל,,מפתח,רגיל,,החלפת נורה קדמית שמאלית כרוכה בפירוק הפנס,
i40,יונדאי,,בנזין,,,,רגיל,,יש,,רגיל,,,,,,,
i800,יונדאי,,דיזל,,,,כבלים חזקים,,יש,,,,,,,,,
ix 35,יונדאי,,,,,,,,יש,,,,,,,,,
mpv,מאזדה,,,,,,רגיל,,יש,,רגיל,,,,,,,
3,מאזדה,2010,,,,,רגיל,,יש,,רגיל,,,,,,,
6,מאזדה,,,,,,רגיל,,יש,,רגיל,,,,,,,
121,מאזדה,,,,,,,,יש,,,,,,,,,
2,מאזדה,,,,,,רגיל,,יש,,,,,,,,,
323,מאזדה,,,,,,רגיל,,יש,,רגיל,,,,,,,
5,מאזדה,,,,,,רגיל,,יש,,,,,,,,,
626,מאזדה,,,,,,רגיל,,יש,,רגיל,,,,,,,
דמיו,מאזדה,,,,,,רגיל,,יש,,רגיל,,,,,,,
טריביוט,מאזדה,,,,,,,,יש,,,,,,,,,
לאנטיס,מאזדה,,,,,,רגיל,,יש,,רגיל,,,,,,,
פרמסי,מאזדה,,,,,,,,יש,,,,,,,,,
קסדוס,מאזדה,,,,,,,,יש,,,,,,,,,
B 2000,מאזדה,,,,,,,,יש,,,,,,,,,
B 2500,מאזדה,,,,,,,,יש,,,,,,,,,
BT 50,מאזדה,,,,,,,,יש,,,,,,,,,
cx 3,מאזדה,,,,,,,,יש,,,,,,,,,
cx 5,מאזדה,,,,,,,,יש,,ג'ק בקבוק,,,,,,,
E 2000,מאזדה,,,,,,,,יש,,,,,,,,,
mpv,מאזדה,2008,,,,,,,,,,,,,,,,
mx 3,מאזדה,,,,,,,,יש,,,,,,,,,
mx 5,מאזדה,,,,,,,,יש,,,,,,,,,
אאוטלנדר,מיצובישי,,,,,,,,יש,,ג'ק בקבוק,,,,,,,
אטרז',מיצובישי,2015,,,,,רגיל,,יש,,רגיל,,,כפתור,רגיל,,,
גאלאנט,מיצובישי,,,,,,,,יש,,,,,,,,,
האנטר,מיצובישי,,,,,,,,יש,,,,,,,,,
טריטון,מיצובישי,,,,,,,,יש,,,,,,,,,
כריזמה,מיצובישי,,,,,,רגיל,,יש,,רגיל,,,,,,,
לנסר,מיצובישי,,,,,,רגיל,,יש,,רגיל,,,,,,,
מגנום,מיצובישי,,,,,,,,יש,,,,,,,,,
סיגמה,מיצובישי,,,,,,,,יש,,,,,,,,,
ספייס ונר,מיצובישי,,,,,,,,יש,,,,,,,,,
ספייס סטאר,מיצובישי,,,,,,,,יש,,,,,,,,,
ספייסגיר,מיצובישי,,,,,,,,יש,,,,,,,,,
ספייסווגן,מיצובישי,,,,,,,,יש,,,,,,,,,
פג'רו,מיצובישי,,,,,,,,יש,,ג'ק בקבוק,,,,,,,
צ'אמפ,מיצובישי,,,,,,,,יש,,,,,,,,,
קולט,מיצובישי,,,,,,,,יש,,,,,,,,,
ASX,מיצובישי,,,,,,,,יש,,,,,,,,,
FB,מיצובישי,,,,,,,,יש,,,,,,,,,
L200,מיצובישי,,,,,,,,יש,,,,,,,,,
L300,מיצובישי,,,,,,,,יש,,,,,,,,,
L400,מיצובישי,,,,,,,,יש,,,,,,,,,
אקליפס,מיצובישי,,,,,,,,יש,,,,,,,,,
גרנדיס,מיצובישי,,,,,,רגיל,,יש,,רגיל,,,,,,,
לנסר,מיצובישי,2009,בנזין,,,,,,,,,,,,,,,
ספרינטר,מרצדס,,דיזל,,,,כבלים חזקים,סילברדו ומעלה,יש,,ג'ק בקבוק,,,,,,,
v220 d,מרצדס,,דיזל,,,,כבלים חזקים,,יש,,,מקדימה בצד ימין,,,,,,
אקסטרייל,ניסאן,2021,,,,,רגיל,,יש,,ג'ק בקבוק,,,כפתור,,,,
טידה,ניסאן,,,,,,רגיל,,יש,,רגיל,,,,רגיל,,,
מיקרה,ניסאן,,,,,,,,יש,,רגיל,,,,רגיל,,,
ג'וק,ניסאן,2012,,,,,רגיל,,יש,,ג'ק בקבוק,,,כפתור,,,,
סנטרה,ניסאן,,,,,,,,יש,,,,,,רגיל,,,
קשקאיי,ניסאן,,,,,,,,יש,,,,,,רגיל,,,
אימפרזה,סובארו,2001,,,,,רגיל,רגיל,יש,,רגיל,רגיל,,מפתח,ללא מסגרת,ללא קלינים. בזהירות על החלון. ניפוח עדין. פתיחת ידית לאחר הוצאת הכרית/דלת אחרת,,
xv,סובארו,,,,,,,,יש,,,,,,,,,
פרוסטר,סובארו,,,,,,,,יש,,,,,,רגיל,,,
b 4,סובארו,2006,בנזין,,,,רגיל,,יש,,,,,מפתח,ללא מסגרת,,,
ויטרה,סוזוקי,,בנזין,,,,רגיל,,יש,,,,,כפתור,,,,
איגניס,סוזוקי,,,,,,,,יש,,,,,,,,,
אלטו,סוזוקי,,,,,,רגיל,,יש,,רגיל,,,,,,,
בלאנו,סוזוקי,,,,,,רגיל,,יש,,רגיל,,,,,,,
ג'יפ ויטארה,סוזוקי,,,,,,,,יש,,,,,,,,,
ג'יפ סמוראי,סוזוקי,,,,,,,,יש,,,,,,,,,
ג'מיני,סוזוקי,,,,,,,,יש,,,,,,,,,
גרנד ויטארה,סוזוקי,,,,,,,,יש,,,,,,,,,
גרנד ויטארה XL 7,סוזוקי,,,,,,,,יש,,,,,,,,,
וואגון,סוזוקי,,,,,,,,יש,,,,,,,,,
יורוסוויפט,סוזוקי,,,,,,,,יש,,,,,,,,,
ליאנה,סוזוקי,,,,,,רגיל,,יש,,רגיל,,,,,,,
מרוטי,סוזוקי,,,,,,,,יש,,,,,,,,,
סוויפט,סוזוקי,,,,,,רגיל,,יש,,רגיל,,,,,,,
סלריו,סוזוקי,,,,,,,,יש,,,,,,,,,
ספלאש,סוזוקי,,,,,,,,יש,,,,,,,,,
קארי,סוזוקי,,,,,,,,יש,,,,,,,,,
קרוס אובר,סוזוקי,,,,,,,,יש,,,,,,,,,
SX 4,סוזוקי,,,,,,,,יש,,,,,,,,,
אטקה,סיאט,,,,,,,,יש,,רגיל,,,כפתור,,,,
ארונה,סיאט,,,,,,רגיל,,יש,,,,,,,,,
ליאון,סיאט,,,,,,רגיל,,יש,,רגיל,,,,,,,
איביזה,סיאט,2020,,,,,רגיל,,יש,,רגיל,,,כפתור,,,,
ג'מפי,סיטרואן,2009,דיזל טורבו,,,,כבלים חזקים,,יש,,גק בקבוק,מתחת לשטיח רגליים של נוסע קדמי,,,,,,
c4,סיטרואן,,,,,,,,יש,,רגיל,,,,,,,
ברלינגו,סיטרואן,2013,דיזל,5w30 0w30,,,,,יש,,רגיל,,,,,,,
סופרב,סקודה,,,,,,,,יש,,רגיל,,,,,,,
פביה,סקודה,,,,,,,,יש,,רגיל,,,,,,,
קודיאק,סקודה,,,,,,,,יש,,ג'ק בקבוק,,,,,,,
אוקטביה,סקודה,,,,,,,,יש,,רגיל,,,,,,,
סיטיגו,סקודה,,,,,,,,יש,,רגיל,,,,,,,
ראפיד,סקודה,,,,,,,,יש,,רגיל,,,,,,,
ג'טה,פולקסוואגן,,,,,,,,יש,,רגיל,,,,,,,
גולף,פולקסוואגן,,,,,,,,יש,,רגיל,,,,,,,
טיוגאן,פולקסוואגן,,,,,,,,יש,,ג'ק בקבוק,,,,,,,
טיוגאן,פולקסוואגן,2013,,,,,,,יש,,ג'ק בקבוק,,,מפתח,וואקום,רק באמצעות מפתח פיזי או שלט.,,
טרנספורטר,פולקסוואגן,2015,דיזל טורבו,,,,כבלים חזקים,,יש,,ג'ק בקבוק,,,,,,,
פסט,פולקסוואגן,,,,,,,,יש,,רגיל,,,,,,,
קאדי,פולקסוואגן,,,,,,,,יש,,,,,,,,,
פוקוס,פורד,,בנזין,,,,,,יש,,רגיל,אונכי. בפנים קרוב להגה. פתיחת מכסה המנוע באמצעות המפתח לסובב את סמל היצרן,,מפתח,רגיל,,,בקדמת הרכב צד שמאל
דוקאטו,פיאט,,דיזל,,,,כבלים חזקים,,יש,,ג'ק בקבוק,,,,,,,
טיפו,פיאט,,,,,,,,יש,,,,,,,,,
פונטו,פיאט,,,,,,,,יש,,,,,,,,,
107,פיג'ו,2013,בנזין,,,,רגיל,רגיל,יש,,רגיל,רגיל,,מפתח,רגיל,רגיל. קיים צ'וקצ'יק לפתיחת דלתות. משיכה כלפי מעלה,,
3008,פיג'ו,,,,,,,,יש,,,,,,,,,
נירו,קיה,2018,היברידי. בנזין.,,,,רגיל,רגיל,יש,,,,,כפתור,רגיל,רגיל. פתיחת מפתח פיזי - לפרק את הקופסא הקטנה בקצה הידית מהחריץ בתחתית,קיים כפתור בוסטר להתנעה עצמית. משמאל להגה,
סטוניק,קיה,,,,,,,,יש,,,,,,,,,
סיד,קיה,,בנזין,,,,,,יש,,,,,,,,,
פיקנטו,קיה,2016,בנזין,,,,רגיל,,יש,,רגיל,רגיל,,מפתח,רגיל,רגיל,,
קארנס,קיה,,,,,,,,יש,,,,,,,,,
קרניבל,קיה,,,,,,,,יש,,,,,,,,,
ריו,קיה,,בנזין,,,,,,יש,,,,,,,,,
אופטימה,קיה,,היברידי. בנזין,,,,רגיל,,יש,,רגיל,,,,,,,
אופריוס,קיה,,,,,,,,יש,,,,,,,,,
בסטה,קיה,,,,,,,,יש,,,,,,,,,
לאו,קיה,,,,,,,,יש,,,,,,,,,
מג'נטיס,קיה,,,,,,,,יש,,,,,,,,,
מנטור,קיה,,,,,,,,יש,,,,,,,,,
סול,קיה,,,,,,,,יש,,,,,,,,,
סופר טראק,קיה,,,,,,,,יש,,,,,,,,,
סוראטו,קיה,,,,,,,,יש,,,,,,,,,
סורנטו,קיה,,,,,,,,יש,,,,,,,,,
סט,קיה,,,,,,,,יש,,,,,,,,,
סיטינגר,קיה,,,,,,,,יש,,,,,,,,,
ספורטאז',קיה,,,,,,רגיל,,יש,,ג'ק בקבוק,,,,,,,
ספיה,קיה,,,,,,,,יש,,,,,,,,,
פורטה,קיה,,,,,,,,יש,,,,,,,,,
פרג'יו,קיה,,,,,,,,יש,,,,,,,,,
פרייד,קיה,,,,,,,,יש,,,,,,,,,
קלארוס,קיה,,,,,,,,יש,,,,,,,,,
שומה,קיה,,,,,,,,יש,,,,,,,,,
JOISE,קיה,,,,,,,,יש,,,,,,,,,
11,רנו,,,,,,,,יש,,,,,,,,,
18,רנו,,,,,,,,יש,,,,,,,,,
19,רנו,,,,,,,,יש,,,,,,,,,
21,רנו,,,,,,,,יש,,,,,,,,,
25,רנו,,,,,,,,יש,,,,,,,,,
5,רנו,,,,,,,,יש,,,,,,,,,
9,רנו,,,,,,,,יש,,,,,,,,,
אספס,רנו,,,,,,,,יש,,,,,,,,,
אקספרס,רנו,,,,,,,,יש,,,,,,,,,
אקספרס 5,רנו,,,,,,,,יש,,,,,,,,,
גרנד סניק,רנו,,,,,,,,יש,,,,,,,,,
גרנד קופה,רנו,,,,,,,,יש,,רגיל,,,,,,,
טווינטו,רנו,,,,,,,,יש,,,,,,,,,
טרפיק,רנו,,,,,,כבלים חזקים,,יש,,ג'ק בקבוק,,,,,,,
לגונה,רנו,,,,,,,,יש,,,,,,,,,
לוגאן,רנו,,,,,,,,יש,,,,,,,,,
מאסטר,רנו,,,,,,כבלים חזקים,,יש,,ג'ק בקבוק,,,,,,,
מגאן,רנו,2020,,,,,רגיל,רגיל,יש,,רגיל,,,,,,תוסף אוריאה,
סימבול,רנו,,,,,,,,יש,,,,,,,,,
סניק,רנו,,,,,,רגיל,רגיל,יש,,רגיל,,,,,,,
פואניק,רנו,,,,,,,,יש,,,,,,,,,
פלואנס,רנו,,,,,,,,יש,,,,,,,,,
קאדגר,רנו,,,,,,,,יש,,,,,,,,,
קוליאוס,רנו,,,,,,,,יש,,,,,,,,,
קליאו,רנו,,,,,,רגיל,רגיל,יש,המיקום מתחת לרכב. שיחרור מתחת לתא המטען לסובב נגד כיוון השעון את הטבעת פלסטיק הלבנה ולדחוף את הידית השחורה כשהיא במקומה. הגלגל אמור ליפול לרצפה. ואז לשחרר את הכבל,רגיל,רגיל,,כפתור,רגיל,,,
קנגו,רנו,,,,,,,,יש,,רגיל,,,,,,,
קפצ'ור,רנו,,,,,,כבלים חזקים,,יש,,,,,,,,,
ZOE,רנו,,,,,,,,יש,,,,,,,,,
מגאן,רנו,2007,בנזין,,,,רגיל,רגיל,,,רגיל,,,,,,,
אורלנדו,שברולט,,,,,,רגיל,,יש,,,,,,,,,
טרוורס,שברולט,2017,,,,,כבלים חזקים,,יש,,ג'ק בקבוק,מתחת לשטיח רגלי המושבים האחוריים באמצע הרכב. אבל נותנים כבלים מקדימה לפלוס ובורג מימין הרכב,,מפתח,,,,
כרוז,שברולט,,,,,,רגיל,,יש,,רגיל,,,,,,,https://youtu.be/vqnJhn5MlSs
מליבו,שברולט,,,,,,,,יש,,רגיל,,,,,,,
סוואנה,שברולט,,דיזל,,,,כבלים חזקים,,יש,,ג'ק בקבוק,,,,,,,
סילבראדו,שברולט,,דיזל,,,,כבלים חזקים,,יש,,ג'ק בקבוק,,,,,,,
ספארק,שברולט,,בנזין,,,,רגיל,,יש,,רגיל,רגיל.,,,,רגיל. קיים צ'וקצ'יק לפתיחת דלתות. משיכה כלפי מעלה,,
אוואו,שברולט,,,,,,רגיל,,יש,,רגיל,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
,,,,,,,,,יש,,,,,,,,,
